county,year,polpc,crmrte
1,81,0.0017868,0.0398849
1,82,0.0017666,0.0383449
1,83,0.0018358,0.0303048
1,84,0.0018859,0.0347259
1,85,0.0019244,0.036573
1,86,0.0018952,0.0347524
1,87,0.0018279,0.0356036
3,81,0.0005939,0.0163921
3,82,0.0007047,0.0190651
3,83,0.0006587,0.0151492
3,84,0.0006089,0.0136621
3,85,0.0006413,0.0120346
3,86,0.0006762,0.0129982
3,87,0.0007459,0.0152532
5,81,0.0008209,0.0093372
5,82,0.0013555,0.0123229
5,83,0.0013416,0.0128064
5,84,0.0013345,0.0138299
5,85,0.0014822,0.0124753
5,86,0.001135,0.0142385
5,87,0.0012343,0.0129603
7,81,0.0014327,0.0219159
7,82,0.0014165,0.0173807
7,83,0.0014398,0.024211
7,84,0.0015046,0.0223434
7,85,0.0015341,0.0245848
7,86,0.0014103,0.0241281
7,87,0.0015299,0.0267532
9,81,0.0008353,0.0075178
9,82,0.0007389,0.0087368
9,83,0.0008604,0.0136804
9,84,0.0009007,0.0143262
9,85,0.0009021,0.0133173
9,86,0.0008539,0.0114417
9,87,0.0008602,0.0106232
11,81,0.0019067,0.0188472
11,82,0.0013588,0.0198536
11,83,0.0019803,0.0191668
11,84,0.0025506,0.0168042
11,85,0.0024759,0.0141194
11,86,0.0028238,0.0170081
11,87,0.002882,0.0146067
13,81,0.001207,0.0300493
13,82,0.0013436,0.0363259
13,83,0.0014763,0.0325271
13,84,0.0012138,0.0301272
13,85,0.0013556,0.0349786
13,86,0.0012726,0.033536
13,87,0.0013377,0.0296409
15,81,0.0009521,0.0168055
15,82,0.0008473,0.0200047
15,83,0.0008852,0.0142092
15,84,0.0009341,0.016346
15,85,0.0008896,0.0160135
15,86,0.0009372,0.0194461
15,87,0.0010353,0.0202814
17,81,0.0013272,0.0186469
17,82,0.001345,0.0211586
17,83,0.0012987,0.0202915
17,84,0.0012621,0.0179276
17,85,0.0013673,0.0196959
17,86,0.0014327,0.0185879
17,87,0.0012976,0.0304289
19,81,0.0019298,0.0225338
19,82,0.001936,0.0183782
19,83,0.0021733,0.0145267
19,84,0.0019476,0.013686
19,85,0.0018741,0.0128511
19,86,0.001784,0.0174337
19,87,0.0020243,0.0221567
21,81,0.0018014,0.0350348
21,82,0.0017689,0.0367896
21,83,0.0016787,0.0366069
21,84,0.0017722,0.0384395
21,85,0.0019133,0.0413296
21,86,0.0018719,0.0441642
21,87,0.0018296,0.0437355
23,81,0.0014249,0.0319175
23,82,0.0013685,0.0290211
23,83,0.0013735,0.0286164
23,84,0.0013643,0.02755
23,85,0.0014041,0.0293095
23,86,0.0013884,0.0256248
23,87,0.0014611,0.0269836
25,81,0.0015847,0.0360686
25,82,0.0016122,0.0370917
25,83,0.0016854,0.0312138
25,84,0.0016528,0.029444
25,85,0.0016077,0.0305075
25,86,0.0018003,0.0319331
25,87,0.0019714,0.0302542
27,81,0.0013843,0.0353349
27,82,0.0013686,0.0371544
27,83,0.0014347,0.0294409
27,84,0.0014427,0.0300368
27,85,0.001424,0.0355283
27,86,0.0013907,0.0366744
27,87,0.0014501,0.0382489
33,81,0.0006188,0.020039
33,82,0.0006589,0.0144477
33,83,0.000652,0.0161148
33,84,0.0005442,0.0141497
33,85,0.0007805,0.0153797
33,86,0.000802,0.0153723
33,87,0.0007559,0.0159189
35,81,0.0017513,0.0414138
35,82,0.0017501,0.0489555
35,83,0.0017224,0.0412081
35,84,0.0017568,0.0404708
35,85,0.0017862,0.0455489
35,86,0.0019468,0.0417065
35,87,0.0018944,0.0408569
37,81,0.0010886,0.0223026
37,82,0.0011636,0.0201309
37,83,0.0011228,0.0190303
37,84,0.0012526,0.0196145
37,85,0.0012295,0.0207011
37,86,0.0012725,0.0252807
37,87,0.001305,0.0226017
39,81,0.0011406,0.0158129
39,82,0.0011277,0.0188128
39,83,0.0011669,0.0168941
39,84,0.0010018,0.0142249
39,85,0.0011135,0.0130587
39,86,0.0010007,0.0113079
39,87,0.0011915,0.0119154
41,81,0.0017286,0.0365365
41,82,0.0017091,0.0304537
41,83,0.0017684,0.0220667
