Years from Winning,Probability of Bankruptcy,group
-5.0,0.0011855670103092,"Large Amount
($50-$150,000)"
-4.0,5.15463917525e-05,"Large Amount
($50-$150,000)"
-3.0,-0.0039175257731958,"Large Amount
($50-$150,000)"
-2.0,0.0018041237113402,"Large Amount
($50-$150,000)"
-1.0,0.0024226804123711,"Large Amount
($50-$150,000)"
1.0,-0.0061340206185566,"Large Amount
($50-$150,000)"
2.0,-0.004020618556701,"Large Amount
($50-$150,000)"
3.0,0.0071134020618556,"Large Amount
($50-$150,000)"
4.0,0.0020103092783505,"Large Amount
($50-$150,000)"
5.0,-0.0004639175257731,"Large Amount
($50-$150,000)"
-5.0,0.0001030927835051,"Small Amount
(< $10,000)"
-4.0,0.0001030927835051,"Small Amount
(< $10,000)"
-3.0,-0.0004639175257731,"Small Amount
(< $10,000)"
-2.0,0.0001030927835051,"Small Amount
(< $10,000)"
-1.0,0.0001030927835051,"Small Amount
(< $10,000)"
1.0,0.0011855670103092,"Small Amount
(< $10,000)"
2.0,0.0008762886597938,"Small Amount
(< $10,000)"
3.0,-0.0004639175257731,"Small Amount
(< $10,000)"
4.0,-0.0002061855670103,"Small Amount
(< $10,000)"
5.0,-0.0004639175257731,"Small Amount
(< $10,000)"
